epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,748.747,1.11909,0.73816,0.97289,0.77411,0.68826,0.77703,0.50894,1.0756,0.79612,0.96111,0.00132868,0.00132868,0.00132868
43,766.082,1.11729,0.74464,0.97983,0.77465,0.66618,0.7717,0.50347,1.07847,0.7632,0.94606,0.00132043,0.00132043,0.00132043
44,783.793,1.10454,0.73471,0.97184,0.71984,0.73499,0.765,0.50627,1.11062,0.7869,0.97088,0.00131218,0.00131218,0.00131218
45,801.173,1.10811,0.73513,0.97013,0.74116,0.69657,0.76531,0.50987,1.05784,0.78537,0.96209,0.00130393,0.00130393,0.00130393
46,818.484,1.09897,0.73347,0.97244,0.74784,0.69074,0.75962,0.50339,1.06419,0.771,0.95807,0.00129568,0.00129568,0.00129568
47,835.692,1.10338,0.7333,0.97046,0.75041,0.7115,0.77261,0.52318,1.03673,0.7442,0.94771,0.00128742,0.00128742,0.00128742
48,852.884,1.0902,0.72373,0.96765,0.74048,0.67299,0.74741,0.49711,1.05786,0.76349,0.95467,0.00127917,0.00127917,0.00127917
49,871,1.10065,0.72769,0.96696,0.76717,0.68868,0.78274,0.52899,1.03591,0.72935,0.94459,0.00127092,0.00127092,0.00127092
50,888.318,1.07517,0.71722,0.96517,0.74724,0.69573,0.77384,0.52156,1.00211,0.74385,0.93999,0.00126267,0.00126267,0.00126267
51,905.954,1.08172,0.7236,0.96745,0.78464,0.68867,0.77675,0.52103,1.03337,0.73305,0.94432,0.00125442,0.00125442,0.00125442
52,923.417,1.07771,0.72019,0.96465,0.71826,0.70117,0.76855,0.51618,1.05052,0.74871,0.94739,0.00124617,0.00124617,0.00124617
53,940.988,1.08044,0.71326,0.96158,0.72178,0.68273,0.7549,0.49691,1.06809,0.85742,0.95893,0.00123791,0.00123791,0.00123791
54,958.024,1.06797,0.70714,0.96217,0.76862,0.7118,0.79343,0.53581,0.99786,0.70776,0.94224,0.00122966,0.00122966,0.00122966
55,975.607,1.07424,0.7063,0.96087,0.75505,0.73398,0.79386,0.52757,1.02323,0.71916,0.94669,0.00122141,0.00122141,0.00122141
56,992.905,1.04724,0.69794,0.95623,0.73683,0.71018,0.77711,0.52724,0.98707,0.71533,0.93264,0.00121316,0.00121316,0.00121316
