,precision,recall,f1-score,support
0,0.9999919996031803,0.9835130118398182,0.991684051889485,1270881.0
1,0.07230142566191446,0.9939135727328059,0.13479714391844483,1643.0
accuracy,0.9835264403657613,0.9835264403657613,0.9835264403657613,0.9835264403657613
macro avg,0.5361467126325474,0.988713292286312,0.563240597903965,1272524.0
weighted avg,0.9987942260342846,0.9835264403657613,0.990577695396565,1272524.0
