,precision,recall,f1-score,support
Class 0,0.9999960293384242,0.9908331307179823,0.9953934936605698,1270881.0
Class 1,0.12326911499096929,0.996956786366403,0.21940928270042193,1643.0
accuracy,0.9908410371827958,0.9908410371827958,0.9908410371827958,0.9908410371827958
macro avg,0.5616325721646968,0.9938949585421926,0.6074013881804958,1272524.0
weighted avg,0.9988640567231549,0.9908410371827958,0.9943915934538882,1272524.0
