,precision,recall,f1-score,support
0,0.9999384685486976,0.9462435900764903,0.972350312389075,1270881.0
1,0.022450527279751598,0.9549604382227632,0.0438697050188732,1643.0
accuracy,0.9462548447023396,0.9462548447023396,0.9462548447023396,0.9462548447023396
macro avg,0.5111944979142246,0.9506020141496268,0.508110008703974,1272524.0
weighted avg,0.9986763998666885,0.9462548447023396,0.9711515187805387,1272524.0
