,precision,recall,f1-score,support
0,0.9999967970763713,0.9826687156389937,0.9912570344559358,1270881.0
1,0.06925839847876611,0.9975654290931223,0.12952426110320847,1643.0
accuracy,0.9826879493039031,0.9826879493039031,0.9826879493039031,0.9826879493039031
macro avg,0.5346275977775687,0.990117072366058,0.5603906477795721,1272524.0
weighted avg,0.9987950883550459,0.9826879493039031,0.9901444212976626,1272524.0
