epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,323.938,1.12066,0.75572,0.97439,0.85537,0.43924,0.49032,0.32604,1.06743,0.77828,0.9841,0.00113898,0.00113898,0.00113898
43,331.628,1.10444,0.74816,0.97129,0.86203,0.43358,0.50913,0.33463,1.049,0.75187,0.98182,0.00113191,0.00113191,0.00113191
44,339.336,1.10622,0.74029,0.96827,0.87783,0.45345,0.51062,0.33621,1.05466,0.76696,0.97817,0.00112484,0.00112484,0.00112484
45,347.029,1.0874,0.734,0.96631,0.88517,0.42485,0.50036,0.32235,1.05026,0.75888,0.97612,0.00111776,0.00111776,0.00111776
46,354.632,1.11086,0.7474,0.97167,0.87224,0.41053,0.48882,0.32462,1.01903,0.74807,0.97075,0.00111069,0.00111069,0.00111069
47,362.268,1.08792,0.73831,0.97128,0.847,0.4609,0.49548,0.32336,1.05455,0.74502,0.98087,0.00110362,0.00110362,0.00110362
48,370.032,1.10943,0.73789,0.96475,0.90076,0.4358,0.51366,0.33514,1.03623,0.7476,0.97194,0.00109654,0.00109654,0.00109654
49,377.825,1.08844,0.74213,0.96343,0.88765,0.42503,0.5014,0.33046,1.06643,0.78883,0.9878,0.00108947,0.00108947,0.00108947
50,385.359,1.08951,0.73215,0.96045,0.8628,0.40296,0.47506,0.29796,1.08303,0.76244,0.9879,0.0010824,0.0010824,0.0010824
51,392.906,1.08725,0.7277,0.96246,0.84027,0.43504,0.502,0.33553,1.01539,0.74189,0.96783,0.00107532,0.00107532,0.00107532
52,400.428,1.07435,0.73111,0.9625,0.86267,0.46532,0.51328,0.33946,1.01769,0.74215,0.96495,0.00106825,0.00106825,0.00106825
53,408.091,1.07162,0.71988,0.95684,0.813,0.45099,0.48133,0.31892,1.0254,0.73949,0.96808,0.00106118,0.00106118,0.00106118
54,415.65,1.06949,0.72635,0.96037,0.85431,0.43896,0.48709,0.31455,1.04166,0.75405,0.97849,0.0010541,0.0010541,0.0010541
55,423.196,1.07564,0.72091,0.95841,0.87532,0.45583,0.50446,0.3335,1.03423,0.74467,0.9725,0.00104703,0.00104703,0.00104703
56,430.834,1.06495,0.71804,0.96031,0.8706,0.4213,0.48781,0.31744,1.04279,0.74521,0.97232,0.00103995,0.00103995,0.00103995
57,438.717,1.05547,0.71378,0.95547,0.88237,0.45344,0.51517,0.3359,1.02623,0.72842,0.97372,0.00103288,0.00103288,0.00103288
58,446.443,1.05774,0.70968,0.95406,0.89259,0.44589,0.50923,0.33041,1.00965,0.7195,0.96271,0.00102581,0.00102581,0.00102581
59,453.967,1.06679,0.70841,0.95367,0.88035,0.46248,0.51692,0.33539,1.02345,0.73805,0.9699,0.00101873,0.00101873,0.00101873
60,461.369,1.05449,0.7068,0.95515,0.54173,0.4507,0.5146,0.3396,0.9785,0.71787,0.9561,0.00101166,0.00101166,0.00101166
61,468.93,1.05413,0.70285,0.95016,0.88902,0.4486,0.50869,0.33102,0.98767,0.70519,0.96258,0.00100459,0.00100459,0.00100459
62,476.48,1.04831,0.70262,0.95026,0.8561,0.44451,0.50069,0.33486,1.002,0.71624,0.96276,0.000997513,0.000997513,0.000997513
63,483.923,1.04547,0.69923,0.94924,0.86012,0.46304,0.50938,0.33445,0.99072,0.70722,0.96071,0.00099044,0.00099044,0.00099044
64,491.444,1.03032,0.69238,0.9489,0.90568,0.42392,0.50264,0.33719,0.99017,0.71611,0.96091,0.000983366,0.000983366,0.000983366
65,499.057,1.04352,0.69947,0.9489,0.90045,0.44633,0.51649,0.33986,1.01272,0.72522,0.96152,0.000976293,0.000976293,0.000976293
66,506.54,1.03416,0.69087,0.94578,0.85527,0.48557,0.52642,0.35734,0.97183,0.70103,0.95445,0.000969219,0.000969219,0.000969219
67,514.143,1.03322,0.69327,0.9486,0.85866,0.4659,0.50905,0.34192,0.98613,0.7024,0.95816,0.000962146,0.000962146,0.000962146
68,521.704,1.0297,0.69138,0.9453,0.88257,0.44776,0.51551,0.34507,0.98747,0.70544,0.95741,0.000955072,0.000955072,0.000955072
69,529.295,1.02753,0.68567,0.9449,0.87759,0.43576,0.50667,0.33931,0.98145,0.70312,0.95699,0.000947999,0.000947999,0.000947999
70,536.891,1.04186,0.6865,0.94377,0.89495,0.41951,0.49746,0.33052,0.98942,0.70627,0.95876,0.000940925,0.000940925,0.000940925
71,544.359,1.01791,0.68153,0.9441,0.88714,0.46058,0.51965,0.34872,0.98234,0.72504,0.95889,0.000933851,0.000933851,0.000933851
72,551.986,1.00712,0.67907,0.93917,0.55392,0.45963,0.52818,0.358,0.9724,0.68969,0.95767,0.000926778,0.000926778,0.000926778
73,559.536,1.0115,0.67665,0.94306,0.88265,0.41832,0.493,0.33257,0.98496,0.69811,0.96502,0.000919704,0.000919704,0.000919704
74,567.07,1.01156,0.68275,0.94067,0.88782,0.45541,0.52599,0.35882,0.9727,0.68659,0.95477,0.000912631,0.000912631,0.000912631
75,574.84,1.00371,0.67648,0.94009,0.85406,0.47894,0.51525,0.34238,0.98086,0.69501,0.95651,0.000905557,0.000905557,0.000905557
76,582.496,1.0169,0.67467,0.94106,0.87187,0.44049,0.51308,0.34153,1.00851,0.71086,0.96807,0.000898484,0.000898484,0.000898484
77,590.075,1.0035,0.66981,0.93476,0.8976,0.45532,0.51289,0.35715,0.9613,0.67223,0.94849,0.00089141,0.00089141,0.00089141
78,597.593,1.01778,0.67157,0.93848,0.89752,0.46425,0.53132,0.35809,0.95419,0.68163,0.95094,0.000884337,0.000884337,0.000884337
79,605.062,1.00118,0.66812,0.93401,0.89409,0.4534,0.52072,0.35806,0.95484,0.68519,0.94795,0.000877263,0.000877263,0.000877263
80,612.717,1.01238,0.66803,0.93416,0.89623,0.46917,0.52021,0.35744,0.96026,0.68458,0.95361,0.00087019,0.00087019,0.00087019
81,620.305,0.98603,0.66154,0.93298,0.91831,0.4511,0.52346,0.36037,0.93721,0.67085,0.94579,0.000863116,0.000863116,0.000863116
82,627.937,1.00223,0.66495,0.93443,0.88681,0.44626,0.50914,0.35224,0.96979,0.69095,0.95099,0.000856042,0.000856042,0.000856042
83,635.508,0.99895,0.65964,0.93304,0.56838,0.42317,0.50091,0.3352,0.96038,0.6871,0.95506,0.000848969,0.000848969,0.000848969
84,643.067,0.986,0.65989,0.93278,0.85944,0.4486,0.50535,0.33477,0.94642,0.67742,0.95025,0.000841895,0.000841895,0.000841895
85,650.715,0.98529,0.65841,0.93181,0.90236,0.4397,0.51006,0.34955,0.94196,0.67608,0.95036,0.000834822,0.000834822,0.000834822
86,658.442,0.98076,0.65754,0.932,0.54646,0.46854,0.51755,0.3572,0.94591,0.67435,0.94743,0.000827748,0.000827748,0.000827748
87,666.134,1.01373,0.67199,0.9362,0.87448,0.47087,0.52031,0.34761,0.97774,0.68779,0.95901,0.000820675,0.000820675,0.000820675
88,673.753,0.98398,0.65694,0.93,0.91617,0.46082,0.52638,0.36169,0.93863,0.6792,0.94738,0.000813601,0.000813601,0.000813601
89,681.471,0.9815,0.65852,0.931,0.88791,0.46784,0.51316,0.34993,0.93478,0.66084,0.9473,0.000806528,0.000806528,0.000806528
90,689.102,0.98473,0.65307,0.93041,0.90482,0.45169,0.52064,0.35384,0.9496,0.67334,0.94655,0.000799454,0.000799454,0.000799454
91,696.746,0.97709,0.65104,0.92806,0.88725,0.44938,0.52003,0.36138,0.92711,0.66428,0.94123,0.00079238,0.00079238,0.00079238
92,704.347,0.99043,0.65087,0.92611,0.88977,0.45491,0.507,0.35298,0.92953,0.66471,0.94496,0.000785307,0.000785307,0.000785307
93,712.102,0.98501,0.65337,0.9313,0.90543,0.45894,0.52206,0.36068,0.92144,0.65974,0.93964,0.000778233,0.000778233,0.000778233
94,719.644,0.96263,0.64793,0.92718,0.90589,0.43959,0.52032,0.35215,0.92702,0.66647,0.94263,0.00077116,0.00077116,0.00077116
95,727.27,0.97083,0.65304,0.92782,0.91295,0.44335,0.52196,0.36571,0.93708,0.66313,0.94864,0.000764086,0.000764086,0.000764086
96,734.881,0.9691,0.64624,0.92499,0.87894,0.46597,0.52446,0.36058,0.91788,0.65926,0.94089,0.000757013,0.000757013,0.000757013
97,742.604,0.97486,0.64739,0.92429,0.89658,0.43769,0.52075,0.35786,0.92674,0.67166,0.94483,0.000749939,0.000749939,0.000749939
