epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,430.256,0.91801,0.60661,0.91564,0.89545,0.71472,0.82092,0.61041,0.83534,0.60452,0.92249,0.0095941,0.0095941,0.0095941
43,440.239,0.91496,0.59955,0.91362,0.85755,0.72698,0.81742,0.60362,0.82836,0.58982,0.92012,0.0095842,0.0095842,0.0095842
44,450.512,0.90664,0.59822,0.91278,0.87535,0.70827,0.80517,0.58228,0.83898,0.60104,0.92329,0.0095743,0.0095743,0.0095743
45,460.561,0.89445,0.59566,0.91228,0.85105,0.75249,0.83061,0.61454,0.82233,0.59579,0.91783,0.0095644,0.0095644,0.0095644
46,470.692,0.89961,0.6045,0.9091,0.84474,0.71646,0.80764,0.57997,0.83859,0.60709,0.92709,0.0095545,0.0095545,0.0095545
47,480.775,0.90621,0.59838,0.91189,0.85809,0.75401,0.84297,0.61757,0.79957,0.57982,0.91197,0.0095446,0.0095446,0.0095446
48,491.102,0.88909,0.58367,0.91171,0.83129,0.73327,0.82021,0.60043,0.83759,0.59981,0.92239,0.0095347,0.0095347,0.0095347
49,500.982,0.89359,0.59081,0.90715,0.85622,0.73024,0.82004,0.609,0.80674,0.59016,0.91346,0.0095248,0.0095248,0.0095248
50,511.238,0.8926,0.58434,0.90749,0.85529,0.74174,0.82805,0.61153,0.80465,0.58626,0.9147,0.0095149,0.0095149,0.0095149
51,521.398,0.88463,0.59163,0.90901,0.84587,0.73144,0.81456,0.60646,0.79702,0.58675,0.91447,0.009505,0.009505,0.009505
52,531.657,0.87636,0.57139,0.90308,0.85674,0.75685,0.83655,0.62164,0.80102,0.58229,0.91596,0.0094951,0.0094951,0.0094951
53,541.759,0.87763,0.58234,0.90647,0.86494,0.73963,0.83738,0.60155,0.81747,0.5901,0.92022,0.0094852,0.0094852,0.0094852
54,551.923,0.87235,0.58015,0.90279,0.85193,0.73901,0.82621,0.61126,0.815,0.58941,0.92015,0.0094753,0.0094753,0.0094753
